cityID,productID,customerID,Date,Result
643,523,12984,2021-06-01,44
424,183,27056,2021-08-10,-12
78,496,18928,2021-03-19,391
632,68,27040,2021-03-12,-123
285,516,24755,2021-07-18,26
485,343,19118,2021-06-05,185
308,2,16268,2021-12-29,365
132,324,24469,2021-08-03,103
482,242,17117,2021-07-03,-32
117,53,26594,2021-04-08,265
354,513,12072,2021-11-20,177
96,203,21822,2021-06-09,91
204,506,11408,2021-01-01,-8
656,50,27918,2021-03-26,336
136,517,14541,2021-01-21,347
499,191,23789,2021-03-17,300
497,448,14331,2021-06-12,-61
653,227,24647,2021-05-31,130
247,411,19261,2021-01-11,156
238,112,24042,2021-08-09,238
37,394,23077,2021-08-09,200
533,420,11284,2021-12-03,134
465,353,12314,2021-02-15,342
2,400,24880,2021-11-03,27
570,200,21214,2021-10-06,178
47,275,25264,2021-06-13,91
146,384,15487,2021-03-20,-109
57,14,17567,2021-08-10,-61
519,549,19436,2021-11-11,-45
617,403,15182,2021-11-16,61
271,242,21151,2021-03-26,-60
157,218,18834,2021-01-21,276
248,173,26331,2021-01-04,63
635,185,25051,2021-10-19,271
444,419,23348,2021-11-09,160
214,563,24029,2021-03-02,42
491,138,22561,2021-09-28,333
523,423,15987,2021-12-25,169
122,526,12608,2021-05-09,210
95,427,23283,2021-01-07,334
178,207,14796,2021-01-01,131
287,438,11536,2021-03-09,67
172,311,22271,2021-09-23,317
218,54,24043,2021-03-12,218
353,257,28647,2021-08-15,174
526,358,14609,2021-01-15,-78
546,183,17180,2021-11-17,49
167,91,13318,2021-02-23,399
500,216,20860,2021-05-02,320
444,496,14648,2021-08-01,48
277,584,13345,2021-08-11,257
378,338,22643,2021-01-21,288
134,294,18084,2021-11-11,96
135,215,21318,2021-08-30,53
304,606,26885,2021-11-09,-71
348,459,23722,2021-07-31,396
534,221,15362,2021-03-04,85
343,331,11910,2021-02-28,24
28,300,19512,2021-06-30,370
623,38,23011,2021-09-12,391
474,395,17225,2021-02-10,177
469,383,19494,2021-12-12,216
153,142,20367,2021-01-29,149
93,536,22282,2021-06-08,152
601,406,27306,2021-10-15,108
620,315,26265,2021-03-19,86
491,183,23588,2021-05-22,307
23,356,22754,2021-05-23,-50
156,41,29431,2021-09-17,68
315,538,22060,2021-04-10,369
334,72,24185,2021-08-02,-76
474,528,17565,2021-05-10,206
479,6,19969,2021-09-19,-105
180,51,20420,2021-03-31,230
623,332,25206,2021-07-26,257
120,180,25095,2021-06-15,79
337,247,15087,2021-03-11,-2
433,241,20117,2021-07-16,364
233,293,22160,2021-07-22,-56
478,368,13154,2021-09-01,-60
627,357,19023,2021-09-21,-6
218,106,14569,2021-05-24,139
135,294,27095,2021-05-10,83
544,590,12533,2021-02-26,32
73,142,15233,2021-08-14,-83
375,69,20296,2021-10-23,-23
96,314,28540,2021-09-05,243
606,333,18016,2021-07-18,378
279,536,19257,2021-12-31,57
439,313,25071,2021-11-04,279
141,506,20214,2021-06-15,268
154,138,27621,2021-12-15,339
223,246,18949,2021-05-25,-85
236,165,13917,2021-05-07,235
91,252,22521,2021-02-25,-145
656,27,26688,2021-09-05,228
502,174,28766,2021-01-04,146
310,258,19097,2021-07-25,-57
178,500,21584,2021-03-15,18
31,8,25182,2021-03-22,302
159,56,17276,2021-08-07,338
649,63,22501,2021-06-10,330
580,216,22072,2021-01-05,148
410,598,18166,2021-08-19,325
104,304,18598,2021-04-23,-150
239,144,17212,2021-02-01,-81
652,554,24013,2021-01-16,115
358,149,20313,2021-10-05,91
265,407,25845,2021-09-16,56
352,282,28841,2021-01-03,40
78,56,22820,2021-11-27,137
267,179,17120,2021-10-21,68
394,419,15041,2021-02-10,154
229,69,22928,2021-06-04,376
407,542,20825,2021-03-13,-2
568,586,22045,2021-02-21,249
17,314,23814,2021-04-26,368
49,284,27500,2021-11-19,281
118,570,19551,2021-12-12,231
592,392,20814,2021-07-04,57
396,487,18184,2021-09-02,395
156,430,28390,2021-06-13,362
254,488,20269,2021-06-05,87
86,570,11090,2021-05-13,248
611,527,25666,2021-03-15,-90
476,337,20503,2021-11-21,-51
606,494,20355,2021-12-10,311
308,548,14596,2021-09-23,148
445,217,21896,2021-12-26,299
6,112,19569,2021-12-25,-81
617,17,16538,2021-08-18,49
217,523,17719,2021-06-01,380
207,426,21115,2021-12-21,-21
555,512,14204,2021-04-21,-67
455,379,28602,2021-02-12,-122
215,167,26947,2021-10-17,-76
347,298,26848,2021-09-30,-8
556,312,27621,2021-11-06,-16
220,312,22925,2021-03-17,187
192,126,17091,2021-12-20,-65
205,400,15185,2021-12-26,249
546,286,17637,2021-03-28,53
382,380,14549,2021-04-08,-116
623,359,17866,2021-04-23,-67
272,460,16143,2021-01-07,-77
117,213,11059,2021-07-29,80
434,209,24561,2021-06-09,263
468,22,13900,2021-12-06,-96
285,327,24664,2021-07-27,389
601,45,19444,2021-09-28,-13
533,316,23411,2021-05-27,182
91,85,16900,2021-01-29,62
238,523,17514,2021-12-04,37
450,529,19833,2021-10-02,387
491,373,28381,2021-02-13,180
122,124,24407,2021-06-19,-53
123,76,28154,2021-06-16,64
390,444,26323,2021-11-30,337
120,547,22230,2021-06-01,270
500,158,15002,2021-07-30,261
564,550,19233,2021-02-12,207
50,561,12767,2021-03-08,273
113,315,16643,2021-09-17,79
437,192,18717,2021-03-09,191
492,248,13710,2021-03-09,-126
173,393,19651,2021-08-11,173
388,8,13604,2021-12-27,132
34,398,18674,2021-02-17,295
313,400,23238,2021-10-21,72
157,440,19794,2021-03-12,12
362,132,17569,2021-01-11,131
235,126,12824,2021-04-07,-2
50,51,28399,2021-03-05,-33
606,320,19215,2021-02-05,329
543,526,23329,2021-01-07,-40
229,417,19468,2021-06-01,173
109,10,27547,2021-02-27,161
246,32,14065,2021-03-10,44
450,222,26769,2021-11-12,367
242,200,26547,2021-01-04,19
457,52,23517,2021-07-05,-82
283,601,20702,2021-05-27,119
247,501,27244,2021-07-29,39
328,48,23421,2021-02-24,-120
530,138,18181,2021-11-27,-104
619,364,25797,2021-07-07,353
589,426,27792,2021-02-03,382
563,414,26366,2021-04-14,-47
595,198,28404,2021-09-22,-19
556,15,17512,2021-02-22,305
183,117,11535,2021-12-22,81
630,121,12964,2021-11-23,204
617,476,20088,2021-01-09,383
625,558,27964,2021-06-12,152
72,300,13627,2021-08-16,-147
327,116,11712,2021-12-14,300
430,334,26259,2021-08-28,122
66,548,13985,2021-04-29,44
599,142,23977,2021-02-04,88
490,44,17800,2021-04-09,171
220,487,18644,2021-11-21,-24
428,377,11036,2021-03-26,-145
280,273,14357,2021-01-24,-126
330,397,28530,2021-05-03,-49
128,384,22151,2021-09-16,128
230,243,16737,2021-03-27,79
564,313,17247,2021-04-10,396
180,524,24351,2021-04-17,320
296,377,25416,2021-01-31,6
182,369,14761,2021-08-03,-71
49,104,26568,2021-09-03,22
361,525,29205,2021-08-21,66
321,189,21691,2021-06-09,164
158,237,16131,2021-07-01,228
128,595,20958,2021-05-21,346
547,405,16415,2021-05-13,118
215,422,22177,2021-04-28,354
69,240,28204,2021-08-13,51
5,303,24263,2021-02-15,240
523,262,11237,2021-02-17,-136
64,51,26378,2021-04-25,-129
26,508,17885,2021-07-17,120
254,102,26568,2021-07-19,378
21,541,18941,2021-01-30,302
550,237,18297,2021-12-29,-133
324,214,21545,2021-10-19,120
528,231,18903,2021-06-23,-138
149,485,27870,2021-10-01,-5
135,117,20496,2021-09-12,6
548,568,24034,2021-11-15,374
29,293,14917,2021-03-21,220
559,29,24266,2021-04-24,200
204,524,16796,2021-10-21,4
626,542,14759,2021-04-24,172
319,50,16881,2021-10-14,193
398,354,17674,2021-01-08,-66
168,389,25986,2021-06-27,-6
473,396,17661,2021-11-30,166
174,396,15134,2021-11-05,392
459,557,27118,2021-02-02,193
572,279,19196,2021-03-30,52
613,66,18959,2021-07-16,278
207,377,23441,2021-05-12,125
569,361,27796,2021-06-16,1
378,178,28646,2021-03-07,54
602,24,16215,2021-07-06,-113
438,294,12181,2021-11-06,336
613,559,13148,2021-09-10,133
255,42,22605,2021-06-26,281
93,20,29205,2021-04-25,89
29,447,25391,2021-12-02,-35
376,595,24765,2021-10-09,-92
142,377,12019,2021-04-20,261
579,351,24852,2021-06-29,322
438,500,14311,2021-12-05,-148
168,123,16138,2021-05-26,193
419,79,12161,2021-07-14,138
82,502,11458,2021-12-04,-82
128,568,16931,2021-05-21,366
279,555,27718,2021-09-11,83
499,565,15052,2021-07-18,172
628,77,14201,2021-11-30,190
416,421,19258,2021-04-12,235
481,454,29089,2021-01-14,333
26,297,16906,2021-01-15,171
226,337,25713,2021-05-29,240
394,506,19336,2021-12-01,368
302,264,15135,2021-04-01,-144
50,410,14082,2021-05-29,-116
361,323,17843,2021-10-23,-65
554,97,21872,2021-08-09,55
539,76,14257,2021-01-23,95
128,151,18647,2021-03-29,320
358,32,14121,2021-09-07,206
597,158,26805,2021-01-12,-5
38,490,17275,2021-06-18,270
180,295,18681,2021-07-28,336
655,481,11759,2021-11-10,120
324,50,25766,2021-09-18,-77
523,581,17186,2021-07-18,235
551,408,17318,2021-03-16,316
340,580,16899,2021-05-10,1
502,154,21003,2021-12-26,136
268,57,14893,2021-08-08,61
40,568,29310,2021-12-22,294
199,218,19544,2021-01-29,-46
354,244,13015,2021-10-28,96
436,428,21464,2021-11-30,334
490,567,16092,2021-07-29,254
493,163,12564,2021-12-24,-54
43,502,24023,2021-06-23,115
156,243,26931,2021-12-19,341
425,200,21349,2021-04-01,360
245,434,29059,2021-07-10,305
150,83,22220,2021-06-18,-142
603,268,26019,2021-06-03,398
159,96,14033,2021-12-16,116
434,126,16151,2021-08-10,166
175,191,20554,2021-05-20,291
620,188,22075,2021-07-19,222
92,340,25215,2021-02-18,128
273,414,17465,2021-01-28,159
388,361,19359,2021-04-22,359
447,165,15264,2021-11-23,331
218,402,14480,2021-09-04,-68
396,304,17454,2021-04-21,297
657,290,11574,2021-11-19,307
423,131,14612,2021-05-26,314
414,596,16425,2021-02-25,318
585,192,24907,2021-05-11,239
47,484,16860,2021-09-03,361
622,50,16070,2021-05-03,235
244,603,13249,2021-09-15,-36
638,233,20275,2021-02-26,330
595,553,13540,2021-06-19,390
121,288,26958,2021-06-15,-111
91,253,21398,2021-04-19,272
300,100,19896,2021-01-26,178
595,504,20500,2021-12-18,-16
218,60,24754,2021-07-22,363
264,360,26818,2021-03-17,-103
189,589,15848,2021-11-20,140
162,257,17978,2021-01-30,314
57,15,25881,2021-02-03,262
294,107,28513,2021-06-12,325
200,418,14467,2021-07-18,196
433,2,25335,2021-12-26,220
386,459,28544,2021-12-06,317
7,50,21518,2021-07-06,-39
442,443,28790,2021-09-04,100
384,441,26397,2021-01-16,316
447,318,13138,2021-10-26,135
354,420,24299,2021-11-28,285
469,157,14803,2021-10-26,-59
156,496,19950,2021-10-07,-42
