cityID,productID,customerID,Date,Result
110,398,25287,2020-10-05,406
107,525,27992,2020-07-21,386
18,223,24357,2020-12-31,180
129,72,21827,2020-03-06,422
250,344,26966,2020-07-23,-32
300,536,18902,2020-10-31,30
189,4,15751,2020-01-24,396
466,322,26788,2020-04-29,451
438,215,12169,2020-08-28,270
262,585,14003,2020-11-24,157
238,469,28989,2020-05-12,294
442,272,20308,2020-09-18,82
116,511,26955,2020-01-18,321
564,534,25281,2020-12-12,416
259,212,12949,2020-10-13,125
453,230,25015,2020-08-18,322
65,426,19555,2020-02-13,378
212,284,14839,2020-02-09,-35
596,515,14539,2020-09-19,264
19,245,12331,2020-04-12,76
656,66,24226,2020-03-14,119
138,231,21496,2020-02-20,151
520,472,14331,2020-06-10,359
254,401,16514,2020-01-02,312
441,377,16114,2020-05-12,369
287,207,22102,2020-12-11,419
155,276,17492,2020-06-02,166
286,577,18363,2020-02-17,297
171,496,16897,2020-09-03,313
608,560,15506,2020-07-11,140
182,89,15634,2020-09-10,34
449,589,23680,2020-01-19,336
526,14,16110,2020-12-18,308
203,82,28551,2020-01-11,277
541,266,15208,2020-12-16,293
311,497,18629,2020-10-29,74
240,546,23669,2020-09-17,19
59,527,17803,2020-07-30,192
193,269,17168,2020-10-11,199
559,120,16877,2020-12-18,484
606,120,29429,2020-02-26,48
594,424,22168,2020-12-06,-79
563,69,28874,2020-06-12,138
371,64,26192,2020-05-16,175
242,28,23391,2020-08-07,344
137,526,25547,2020-06-23,-1
478,238,26303,2020-04-05,-10
351,561,21660,2020-05-25,88
134,211,28493,2020-02-24,62
512,170,18120,2020-09-03,168
425,263,12870,2020-01-17,-64
330,565,19679,2020-06-22,0
450,314,12353,2020-04-18,52
39,538,13337,2020-10-26,171
611,535,12349,2020-07-22,436
64,209,26232,2020-09-29,-30
127,481,29394,2020-08-02,26
603,566,15779,2020-06-27,329
192,17,28520,2020-01-27,63
466,19,15506,2020-08-11,461
143,347,12199,2020-11-14,-27
557,601,19955,2020-08-08,297
3,450,16319,2020-06-10,180
481,327,20066,2020-03-18,262
314,313,23429,2020-07-26,214
107,341,24882,2020-03-04,177
174,264,13914,2020-08-14,172
165,26,16510,2020-04-04,163
181,435,24613,2020-05-13,332
31,221,12580,2020-04-25,279
45,46,18156,2020-10-08,258
534,574,18654,2020-06-30,-8
9,328,13563,2020-10-11,66
352,528,15465,2020-10-24,-72
154,521,24211,2020-02-28,472
267,504,27932,2020-10-14,314
480,506,21135,2020-07-10,-70
414,361,17526,2020-10-14,275
537,331,28432,2020-02-08,224
76,580,14567,2020-11-20,179
411,281,16504,2020-09-24,48
50,463,27465,2020-11-06,225
31,34,23677,2020-01-21,-82
240,48,25068,2020-06-28,8
